Id: 188 | NEGATIVO
Id: 149 | INDEFINIDO
Id: 129 | NEGATIVO
Id: 250 | ANTISEMITA
Id: 73 | NEGATIVO
Id: 341 | NEGATIVO
Id: 221 | NEGATIVO
Id: 265 | ANTISEMITA
Id: 209 | INDEFINIDO
Id: 305 | ANTISEMITA
Id: 296 | NEGATIVO
Id: 190 | NEGATIVO
Id: 294 | NEGATIVO
Id: 308 | NEGATIVO
Id: 241 | NEGATIVO
Id: 4 | NEGATIVO
Id: 98 | NEGATIVO
Id: 279 | NEGATIVO
Id: 189 | NEGATIVO
Id: 118 | NEGATIVO
Id: 62 | ANTISEMITA
Id: 94 | INDEFINIDO
Id: 326 | INDEFINIDO
Id: 220 | NEGATIVO
Id: 115 | ANTISEMITA
Id: 89 | INDEFINIDO
Id: 128 | ANTISEMITA
Id: 287 | ANTISEMITA
Id: 130 | NEGATIVO
Id: 87 | NEGATIVO
Id: 70 | NEGATIVO
Id: 280 | ANTISEMITA
Id: 125 | NEGATIVO
Id: 224 | NEGATIVO
Id: 156 | NEGATIVO
Id: 158 | NEGATIVO
Id: 273 | ANTISEMITA
Id: 238 | ANTISEMITA
Id: 146 | NEGATIVO
Id: 117 | NEGATIVO
Id: 99 | NEGATIVO
Id: 54 | NEGATIVO
