Id: 188 |  Negativo
Id: 149 |  Negativo
Id: 129 |  Negativo
Id: 250 |  Antisemita
Id: 73 |  Antisemita
Id: 341 |  Negativo
Id: 221 |  Antisemita
Id: 265 |  Negativo
Id: 209 |  Antisemita
Id: 305 |  Antisemita
Id: 296 |  Antisemita
Id: 190 |  Negativo
Id: 294 |  Antisemita
Id: 308 |  Negativo
Id: 241 |  Negativo
Id: 4 |  Negativo
Id: 98 |  Antisemita
Id: 279 |  Antisemita
Id: 189 |  Negativo
Id: 118 |  Negativo
Id: 62 |  Antisemita
Id: 94 |  Negativo
Id: 326 |  Indefinido
Id: 220 |  Negativo
Id: 115 |  Antisemita
Id: 89 |  Negativo
Id: 128 |  Antisemita
Id: 287 |  Antisemita
Id: 130 |  Antisemita
Id: 87 |  Negativo
Id: 70 |  Negativo
Id: 280 |  Antisemita
Id: 125 |  Negativo
Id: 224 |  Antisemita
Id: 156 |  Negativo
Id: 158 |  Negativo
Id: 273 |  Antisemita
Id: 238 |  Antisemita
Id: 146 |  Antisemita
Id: 117 |  Antisemita
Id: 99 |  Negativo
Id: 54 |  Negativo
