Id: 208 | Indefinido
Id: 97 | Indefinido
Id: 114 | Antisemita
Id: 6 | Antisemita
Id: 126 | Antisemita
Id: 52 | Negativo
Id: 167 | Indefinido
Id: 131 | Indefinido
Id: 80 | Antisemita
Id: 187 | Indefinido
Id: 218 | Indefinido
Id: 267 | Antisemita
Id: 350 | Indefinido
Id: 102 | Indefinido
Id: 43 | Antisemita
Id: 56 | Antisemita
Id: 230 | Antisemita
Id: 186 | Antisemita
Id: 257 | Antisemita
Id: 348 | Indefinido
Id: 310 | Antisemita
Id: 300 | Antisemita
Id: 192 | Indefinido
Id: 1 | Antisemita
Id: 225 | Antisemita
Id: 47 | Indefinido
Id: 343 | Indefinido
Id: 164 | Antisemita
Id: 307 | Antisemita
Id: 154 | Antisemita
Id: 152 | Antisemita
Id: 184 | Indefinido
Id: 222 | Antisemita
Id: 339 | Indefinido
Id: 315 | Indefinido
Id: 240 | Indefinido
Id: 322 | Indefinido
Id: 183 | Antisemita
Id: 105 | Antisemita
Id: 121 | Antisemita
