Id: 188 | Negativo
Id: 149 | Antisemita
Id: 129 | Negativo
Id: 250 | Antisemita
Id: 73 | Negativo
Id: 341 | Indefinido
Id: 221 | Negativo
Id: 265 | Antisemita
Id: 209 | Indefinido
Id: 305 | Antisemita
Id: 296 | Negativo
Id: 190 | Negativo
Id: 294 | Negativo
Id: 308 | Indefinido
Id: 241 | Negativo
Id: 4 | Negativo
Id: 98 | Negativo
Id: 279 | Negativo
Id: 189 | Negativo
Id: 118 | Negativo
Id: 62 | Antisemita
Id: 94 | Negativo
Id: 326 | Indefinido
Id: 220 | Negativo
Id: 115 | Antisemita
Id: 89 | Negativo
Id: 128 | Antisemita
Id: 287 | Negativo
Id: 130 | Negativo
Id: 87 | Negativo
Id: 70 | Negativo
Id: 280 | Antisemita
Id: 125 | Negativo
Id: 224 | Negativo
Id: 156 | Negativo
Id: 158 | Negativo
Id: 273 | Antisemita
Id: 238 | Negativo
Id: 146 | Negativo
Id: 117 | Negativo
Id: 99 | Indefinido
Id: 54 | Negativo
