Id: 0 | Antisemita
Id: 1 | Negativo
Id: 2 | Negativo
Id: 3 | Negativo
Id: 4 | Negativo
Id: 5 | Indefinido
Id: 6 | Negativo
Id: 7 | Antisemita
Id: 8 | Antisemita
Id: 9 | Negativo
Id: 10 | Antisemita
Id: 11 | Negativo
Id: 12 | Negativo
Id: 13 | Antisemita
Id: 14 | Negativo
Id: 15 | Antisemita
Id: 16 | Negativo
Id: 17 | Negativo
Id: 18 | Negativo
Id: 19 | Negativo
Id: 20 | Antisemita
Id: 21 | Antisemita
Id: 22 | Negativo
Id: 23 | Antisemita
Id: 24 | Negativo
Id: 25 | Indefinido
Id: 26 | Negativo
Id: 27 | Antisemita
Id: 28 | Antisemita
Id: 29 | Negativo
Id: 30 | Negativo
Id: 31 | Indefinido
Id: 32 | Antisemita
Id: 33 | Antisemita
Id: 34 | Antisemita
Id: 35 | Antisemita
Id: 36 | Indefinido
Id: 37 | Negativo
Id: 38 | Negativo
Id: 39 | Negativo
Id: 40 | Negativo
Id: 41 | Negativo
Id: 42 | Antisemita
Id: 43 | Negativo
Id: 44 | Indefinido
Id: 45 | Antisemita
Id: 46 | Indefinido
Id: 47 | Negativo
Id: 48 | Negativo
Id: 49 | Negativo
Id: 50 | Antisemita
Id: 51 | Antisemita
Id: 52 | Negativo
Id: 53 | Indefinido
Id: 54 | Antisemita
Id: 55 | Negativo
Id: 56 | Negativo
Id: 57 | Antisemita
Id: 58 | Negativo
Id: 59 | Negativo
Id: 60 | Antisemita
Id: 61 | Antisemita
Id: 62 | Negativo
Id: 63 | Antisemita
Id: 64 | Antisemita
Id: 65 | Antisemita
Id: 66 | Antisemita
Id: 67 | Antisemita
Id: 68 | Indefinido
Id: 69 | Negativo
Id: 70 | Antisemita
Id: 71 | Antisemita
Id: 72 | Antisemita
Id: 73 | Negativo
Id: 74 | Antisemita
Id: 75 | Antisemita
Id: 76 | Antisemita
Id: 77 | Negativo
Id: 78 | Antisemita
Id: 79 | Antisemita
Id: 80 | Antisemita
Id: 81 | Negativo
Id: 82 | Antisemita
Id: 83 | Antisemita
Id: 84 | Negativo
Id: 85 | Negativo
Id: 86 | Indefinido
Id: 87 | Negativo
Id: 88 | Antisemita
Id: 89 | Antisemita
Id: 90 | Antisemita
Id: 91 | Negativo
Id: 92 | Antisemita
Id: 93 | Antisemita
Id: 94 | Negativo
Id: 95 | Negativo
Id: 96 | Antisemita
Id: 97 | Negativo
Id: 98 | Antisemita
Id: 99 | Antisemita
