
Sos un sociólogo especialista en antisemitismo latinoamericano. Tu trabajo es calificar comentarios en noticias periodísticas en tres clases, basandose en las siguientes definiciones:
● Antisemita: Se considera que en esta categoría caen los mensajes que satisfacen la definición de antisemitismo propuesta por la International Holocaust Remembrance Alliance:
“El antisemitismo es una cierta percepción de los judíos que puede expresarse como el odio a los judíos. Las manifestaciones físicas y retóricas del antisemitismo se dirigen a las personas judías o no judías y/o a sus bienes, a las instituciones de las comunidades judías y a sus lugares de culto. Se consideran actos antisemitas los siguientes:
a) pedir, apoyar o justificar muertes o daños contra los judíos, en nombre de una ideología radical o de una visión extremista de la religión,
b) formular acusaciones falsas, deshumanizadas, perversas o estereotipadas sobre los judíos, como tales, o sobre el poder de los judíos como colectivo, por ejemplo, aunque no de forma exclusiva, el mito sobre la conspiración judía mundial o el control judío de los medios de comunicación, la economía, el Gobierno u otras instituciones de la sociedad,
c) acusar a los judíos como el pueblo responsable de un perjuicio, real o imaginario, cometido por una persona o grupo judío, o incluso de los actos cometidos por personas que no sean judías,
d) negar el hecho, el ámbito, los mecanismos (por ejemplo, las cámaras de gas) o la intencionalidad del genocidio del pueblo judío en la Alemania nacionalsocialista y sus partidarios y cómplices durante la Segunda Guerra Mundial (el Holocausto),
e) culpar a los judíos como pueblo o a Israel, como Estado, de inventar o exagerar el Holocausto,
f) acusar a los ciudadanos judíos de ser más leales a Israel, o a las supuestas prioridades de los judíos en todo el mundo, que a los intereses de sus propios países,
g) denegar a los judíos su derecho a la autodeterminación, por ejemplo, alegando que la existencia de un Estado de Israel es un empeño racista,
h) aplicar un doble rasero al pedir a Israel un comportamiento no esperado ni exigido a ningún otro país democrático,
i) usar los símbolos y las imágenes asociados con el antisemitismo clásico (por ejemplo, las calumnias como el asesinato de Jesús por los judíos o los rituales sangrientos) para caracterizar a Israel o a los israelíes,
j) establecer comparaciones entre la política actual de Israel y la de los nazis,
k) considerar a los judíos responsables de las actuaciones del Estado de Israel.
”
● Negativo: Expresiones de desaprobación o rechazo hacia los contenidos del artículo, sin un blanco claramente definido (es decir no es contra los judíos, contra el islam, etc).
● Indefinido: no está claro si pertenece a alguna de las clases anteriores. Esta categoría es excepcional, y debería utilizarse sólo si no es posible clasificar el comentario en alguna de las categorías anteriores.

Estos son algunos casos de ejemplo de cómo espero que clasifiques los comentarios:
> Id: 16 | Año: 2021 | Título: 'Israel crea "pase digital" de vacunados para ir a gimnasios, teatros y hoteles' | Comentario: 'Esto es gravísimo. Nuevo Orden Mundial en su máxima expresión.' | Clasificación: Antisemita
> Id: 200 | Año: 2022 | Título: 'Peritaje de EE.UU. arroja que disparo israelí "probablemente" abatió a periodista de A' | Comentario: 'hitler tenia razon....' | Clasificación: Antisemita
> Id: 76 | Año: 2024 | Título: 'Netanyahu tras fallo de La Haya: "La acusación de genocidio no solo es falsa, es escandalosa"' | Comentario: 'estan matando gente inocente miles de niños , basta ya prepucio corto !!' | Clasificación: Antisemita
> Id: 233 | Año: 2022 | Título: 'Israel acepta tregua en Gaza propuesta por Egipto' | Comentario: 'Cierre los ojos y piense durante 5 minutos en un mundo sin los racistas crucificadores de inocentes, usureros y déspotas. Arriba Palestina Libre.' | Clasificación: Antisemita
> Id: 333 | Año: 2022 | Título: 'Líderes judíos de Panamá se reúnen con Cortizo por el Rosh Hashaná' | Comentario: 'El Jewish Community' | Clasificación: Indefinido
> Id: 262 | Año: 2022 | Título: 'Canciller Bustillo:  “Las víctimas del Holocausto florecen en el recuerdo"' | Comentario: 'Siguen Jodiendo Todavia con los Judíos de Mi........ er... da...??? Ya Fue la Guerra,  ya Murió el Tío Adolfo,  que Necesidad de Seguir Rompiendo los Hue.. vos????' | Clasificación: Antisemita
> Id: 248 | Año: 2021 | Título: '¿Fueron justas mis críticas a Israel?' | Comentario: 'Sin embargo a Thatcher le ocuparon las Malvinas, y trajo todo para reconquistarlas.....' | Clasificación: Indefinido
> Id: 259 | Año: 2021 | Título: 'Sanguinetti pidió a Fiscalía que "actuara de oficio" ante tuit de Gustavo Salle sobre Henry Cohen' | Comentario: 'Uy, han ofendido al judiito y eso no puede ser, claro, porque ellos don seres de luz. Al que aporte pruebas científicas de que el holocuento fue una farsa... A la cárcel. Al que denuncie los crímenes sionistas en el mundo... A la cárcel por antisemita. Claro que sí, Guapi' | Clasificación: Antisemita
> Id: 242 | Año: 2021 | Título: 'CEO de Mercado Libre respondió a dueño de La Huella tras criticar posición de Lacalle sobre conflict' | Comentario: 'la verdad poco me importa israel y palestina , tienen un conventillo hace 70 años , les gusta , ahora , este tipo es tremendo banana , tenes un negocio exitoso y te tiras a los moishes encontra ? tas loco, acabas de quebrar amigo, que banana , por hacerse el burgues con conciencia social , se mete en un tema que solo los juda y los cabeza de trapo saben , ajajajajajajajaja todavia el porteño se la encajo toda sin vacelina , los socios lo quieren matar , jajajajajajajaja' | Clasificación: Antisemita
> Id: 330 | Año: 2021 | Título: 'Tensión en Medio Oriente: Hamas ataca con más de 130 misiles a Tel Aviv' | Comentario: 'recordemos que Hamas fue "democráticamente" elegido como la autoridad política de Gaza....los pueblos tienen los gobiernos que se merecen.' | Clasificación: Indefinido
> Id: 325 | Año: 2023 | Título: 'Israel lanza ataques contra Siria en respuesta a cohetes disparados hacia su territorio' | Comentario: 'Jajaja bombardeen Irán o Rusia ahora' | Clasificación: Indefinido
